ID,Category,Vegetable / Crop,Variety,POS Description,Full Name,Created Date
322,Apples,Early Season,Ginger Gold,Ginger Gold,Apples - Early Season (Ginger Gold),2022-04-25 22:19:56
323,Apples,Late Season,Liberty,Liberty,Apples - Late Season (Liberty),2022-04-25 22:24:28
324,Apples,Late Season,Royal Empire,Empire,Apples - Late Season (Royal Empire),2022-04-25 22:24:42
326,Apples,Late Season,Winecrisp,Winecrisp,Apples - Late Season (Winecrisp),2022-04-25 22:26:37
325,Apples,Mid Season,Honeycrisp,Honeycrisp,Apples - Mid Season (Honeycrisp),2022-04-25 22:25:06
327,Apples,Mid Season,Pixie Crunch,Pixie Crunch,Apples - Mid Season (Pixie Crunch),2022-04-25 22:28:44
343,Asparagus,Green Asparagus,Millenium,Asparagus,Asparagus - Green Asparagus (Millenium),2023-02-19 12:37:25
285,Beans,Green Beans,Jade Green,Beans,Beans - Green Beans (Jade Green),2021-02-13 16:13:04
70,Beans,Green Beans,Provider,Green Beans,Beans - Green Beans (Provider),2016-01-17 00:48:27
287,Beans,Yellow Beans,Goldrush,Yellow Beans,Beans - Yellow Beans (Goldrush),2021-02-14 13:07:55
71,Beans,Yellow Beans,Rocdor,Yellow Beans,Beans - Yellow Beans (Rocdor),2016-01-17 00:48:27
315,Beets,Golden Beet,Boldor,Golden Beet,Beets - Golden Beet (Boldor),2022-03-27 15:24:44
26,Beets,Golden Beets,Touchstone,Golden Beets,Beets - Golden Beets (Touchstone),2016-01-17 00:48:27
25,Beets,Red Beets,Boro,Red Beets,Beets - Red Beets (Boro),2016-01-17 00:48:27
169,Beets,Red Beets,Merlin,Red Beets,Beets - Red Beets (Merlin),2016-01-17 00:48:27
249,Broccoli,Broccoli,Avenger,Org. Broccoli,Broccoli - Broccoli (Avenger),2018-01-12 19:52:03
243,Broccoli,Broccoli,BC1691,Org. Broccoli,Broccoli - Broccoli (BC1691),2017-04-30 14:03:48
244,Broccoli,Broccoli,BC1764,Org. Broccoli,Broccoli - Broccoli (BC1764),2017-04-30 14:03:57
16,Broccoli,Broccoli,Belstar,Org. Broccoli,Broccoli - Broccoli (Belstar),2016-01-17 00:48:27
17,Broccoli,Broccoli,Blue Wind,Org. Broccoli,Broccoli - Broccoli (Blue Wind),2016-01-17 00:48:27
245,Broccoli,Broccoli,Burney,Org. Broccoli,Broccoli - Broccoli (Burney),2017-04-30 14:04:06
274,Broccoli,Broccoli,Covina,Broccoli,Broccoli - Broccoli (Covina),2019-04-15 15:24:21
251,Broccoli,Broccoli,Eastern Crown,Broccoli,Broccoli - Broccoli (Eastern Crown),2018-03-30 12:47:23
246,Broccoli,Broccoli,Emerald Crown,Org. Broccoli,Broccoli - Broccoli (Emerald Crown),2017-04-30 14:04:59
18,Broccoli,Broccoli,Green Magic,Org. Broccoli,Broccoli - Broccoli (Green Magic),2016-01-17 00:48:27
250,Broccoli,Broccoli,Gypsey,Org. Broccoli,Broccoli - Broccoli (Gypsey),2018-01-12 19:56:25
242,Broccoli,Broccoli,Lieutenant,Org. Broccoli,Broccoli - Broccoli (Lieutenant),2017-03-28 07:29:34
254,Broccoli,Broccoli,Luna,Broccoli,Broccoli - Broccoli (Luna),2018-04-15 14:14:13
300,Broccoli,Broccoli,Marathon,Broccoli,Broccoli - Broccoli (Marathon),2021-02-14 13:42:28
297,Broccoli,Broccoli,Monty,Broccoli,Broccoli - Broccoli (Monty),2021-02-14 13:33:56
275,Burdock,Artichoke,Tavor,Artichoke,Burdock - Artichoke (Tavor),2020-04-19 14:53:20
202,Burdock,Artichokes,Imperial Star,Artichokes,Burdock - Artichokes (Imperial Star),2016-01-22 21:05:51
170,Burdock,Cardoons,Porto Spineless,Cardoons,Burdock - Cardoons (Porto Spineless),2016-01-17 00:48:27
269,Cabbage,Green Cabbage,Capture,Green Cabbage,Cabbage - Green Cabbage (Capture),2019-04-01 16:50:51
270,Cabbage,Green Cabbage,Caraflex,Pointy Cabbage,Cabbage - Green Cabbage (Caraflex),2019-04-01 16:51:34
128,Cabbage,Green Cabbage,Farao,Green Cabbage,Cabbage - Green Cabbage (Farao),2016-01-17 00:48:27
203,Cabbage,Red Cabbage,Integro,Red Cabbage,Cabbage - Red Cabbage (Integro),2016-01-22 21:12:22
129,Cabbage,Red Cabbage,Red Express,Red Cabbage,Cabbage - Red Cabbage (Red Express),2016-01-17 00:48:27
175,Carrots,Multi Carrots,Rainbow,Rainbow Carrots,Carrots - Multi Carrots (Rainbow),2016-01-17 00:48:27
27,Carrots,Orange Carrots,Jeannette,Carrots,Carrots - Orange Carrots (Jeannette),2016-01-17 00:48:27
28,Carrots,Orange Carrots,Nectar,Carrots,Carrots - Orange Carrots (Nectar),2016-01-17 00:48:27
29,Carrots,Orange Carrots,Resistafly,Carrots,Carrots - Orange Carrots (Resistafly),2016-01-17 00:48:27
204,Carrots,Orange Carrots,Sugarsnax 54,Carrots,Carrots - Orange Carrots (Sugarsnax 54),2016-01-22 21:12:57
288,Carrots,Orange Carrots,YaYa,Carrots,Carrots - Orange Carrots (YaYa),2021-02-14 13:10:15
131,Carrots,Purple Carrots,Purple Haze,Purple Carrots,Carrots - Purple Carrots (Purple Haze),2016-01-17 00:48:27
276,Cauliflower,Cauliflower,Adona,Cauliflower,Cauliflower - Cauliflower (Adona),2020-04-19 14:55:14
253,Cauliflower,Cauliflower,Benissa,Cauliflower,Cauliflower - Cauliflower (Benissa),2018-04-15 14:13:51
233,Cauliflower,Cauliflower,Bishop,Cauliflower,Cauliflower - Cauliflower (Bishop),2016-04-22 10:42:00
346,Cauliflower,Cauliflower,Early Snow,Cauliflower,Cauliflower - Cauliflower (Early Snow),2023-04-02 13:33:16
115,Cauliflower,Cauliflower,Janvel,Cauliflower,Cauliflower - Cauliflower (Janvel),2016-01-17 00:48:27
252,Cauliflower,Cauliflower,Mardi,Cauliflower,Cauliflower - Cauliflower (Mardi),2018-03-30 12:47:47
205,Cauliflower,Cauliflower,Sierra Madre,Cauliflower,Cauliflower - Cauliflower (Sierra Madre),2016-01-22 21:13:18
114,Cauliflower,Cauliflower,Skywalker,Cauliflower,Cauliflower - Cauliflower (Skywalker),2016-01-17 00:48:27
307,Cauliflower,Cauliflower,Synergy,Cauliflower,Cauliflower - Cauliflower (Synergy),2021-03-28 13:08:49
319,Cauliflower,Cauliflower,Twister,Cauliflower,Cauliflower - Cauliflower (Twister),2022-03-31 22:44:17
206,Celery,Celery,Tango,Celery,Celery - Celery (Tango),2016-01-22 21:13:51
290,Corn,Sweet Corn,Allure,Sweet Corn,Corn - Sweet Corn (Allure),2021-02-14 13:15:56
291,Corn,Sweet Corn,Natural Sweet,Sweet Corn,Corn - Sweet Corn (Natural Sweet),2021-02-14 13:16:31
207,Corn,Sweet Corn,SS2742,Sweet Corn,Corn - Sweet Corn (SS2742),2016-01-22 21:14:15
334,Corn,Sweet Corn,Solstice,Sweet Corn,Corn - Sweet Corn (Solstice),2022-05-04 20:52:26
342,Cover Crop,Triticale,Triticale,Triticale,Cover Crop - Triticale (Triticale),2022-10-03 20:19:00
232,Cucumbers,Mini Cuke,Iznik,Mini Cuke,Cucumbers - Mini Cuke (Iznik),2016-04-22 10:39:07
50,Cucumbers,Mini Cuke,Picolino,Mini Cuke,Cucumbers - Mini Cuke (Picolino),2016-01-17 00:48:27
208,Cucumbers,Slicer Cuke,Corinto,Cukes,Cucumbers - Slicer Cuke (Corinto),2016-01-22 21:15:07
209,Cucumbers,Slicer Cuke,Marketmore 76,Cukes,Cucumbers - Slicer Cuke (Marketmore 76),2016-01-22 21:15:33
52,Cucumbers,Slicer Cuke,Marketmore 97,Cukes,Cucumbers - Slicer Cuke (Marketmore 97),2016-01-17 00:48:27
51,Cucumbers,Slicer Cuke,SV4719CS,Cukes,Cucumbers - Slicer Cuke (SV4719CS),2016-01-17 00:48:27
54,Cucumbers,Specialty Cuke,Lemon,Lemon Cuke,Cucumbers - Specialty Cuke (Lemon),2016-01-17 00:48:27
317,Eggplant,Purple Eggplant,A-1014,Eggplant,Eggplant - Purple Eggplant (A-1014),2022-03-31 22:41:14
56,Eggplant,Purple Eggplant,Classic,Eggplant,Eggplant - Purple Eggplant (Classic),2016-01-17 00:48:27
345,Eggplant,Purple Eggplant,Gaudi,Eggplant,Eggplant - Purple Eggplant (Gaudi),2023-03-27 09:49:27
210,Eggplant,Purple Eggplant,Nadia,Eggplant,Eggplant - Purple Eggplant (Nadia),2016-01-22 21:25:00
292,Eggplant,Purple Eggplant,Traviata,Eggplant,Eggplant - Purple Eggplant (Traviata),2021-02-14 13:19:08
120,Garlic,Garlic,German Red,Garlic,Garlic - Garlic (German Red),2016-01-17 00:48:27
121,Garlic,Garlic,Music,Garlic,Garlic - Garlic (Music),2016-01-17 00:48:27
174,Garlic,Garlic,Scapes,Garlic Scapes,Garlic - Garlic (Scapes),2016-01-17 00:48:27
212,Greens,Arugula,Astro,Arugula,Greens - Arugula (Astro),2016-01-22 21:25:42
178,Greens,Asian Greens,Mizuna,Mizuna,Greens - Asian Greens (Mizuna),2016-01-19 09:06:23
61,Greens,Asian Greens,Red Komatsuna,Red Asian Greens,Greens - Asian Greens (Red Komatsuna),2016-01-17 00:48:27
63,Greens,Asian Greens,Win Win,Pac Choi,Greens - Asian Greens (Win Win),2016-01-17 00:48:27
213,Greens,Greens Mix,Beta Blend,Beta Blend,Greens - Greens Mix (Beta Blend),2016-01-22 21:26:04
211,Greens,Spinach,Renegade,Spinach,Greens - Spinach (Renegade),2016-01-22 21:25:19
60,Greens,Swiss Chard,Bright Lights,Chard,Greens - Swiss Chard (Bright Lights),2016-01-17 00:48:27
289,Greens,Swiss Chard,Improved Rainbow,Swiss Chard,Greens - Swiss Chard (Improved Rainbow),2021-02-14 13:13:18
214,Kale,Green Kale,Starbor,Green Kale,Kale - Green Kale (Starbor),2016-01-22 21:26:22
21,Kale,Green Kale,Vates,Green Kale,Kale - Green Kale (Vates),2016-01-17 00:48:27
293,Kale,Green Kale,Westlandse Winter,Green Kale,Kale - Green Kale (Westlandse Winter),2021-02-14 13:23:01
294,Kale,Red Kale,Red Bor,Red Kale,Kale - Red Kale (Red Bor),2021-02-14 13:23:37
22,Kale,Red Kale,Red Russian,Red Kale,Kale - Red Kale (Red Russian),2016-01-17 00:48:27
23,Kale,Toscano Kale,Toscano,Toscano Kale,Kale - Toscano Kale (Toscano),2016-01-17 00:48:27
173,Kale,White Kale,White Russian,White Kale,Kale - White Kale (White Russian),2016-01-17 00:48:27
31,Leeks,Leeks,Lexton,Leeks,Leeks - Leeks (Lexton),2016-01-17 00:48:27
30,Leeks,Leeks,Pandora,Leeks,Leeks - Leeks (Pandora),2016-01-17 00:48:27
228,Lettuce,Bibb,Adriana,Bibb Lettuce,Lettuce - Bibb (Adriana),2016-01-22 21:51:52
4,Lettuce,Green Leaf,Green Star,Green Leaf,Lettuce - Green Leaf (Green Star),2016-01-17 00:48:27
227,Lettuce,Green Leaf,Starfighter,Green Leaf,Lettuce - Green Leaf (Starfighter),2016-01-22 21:51:05
3,Lettuce,Green Leaf,Tropicana,Green Leaf,Lettuce - Green Leaf (Tropicana),2016-01-17 00:48:27
2,Lettuce,Green Leaf,Two Star,Green Leaf,Lettuce - Green Leaf (Two Star),2016-01-17 00:48:27
176,Lettuce,Mini Romaine,Ansar,Mini Romaine,Lettuce - Mini Romaine (Ansar),2016-01-17 00:48:27
9,Lettuce,Mini Romaine,Breen,Mini Romaine,Lettuce - Mini Romaine (Breen),2016-01-17 00:48:27
8,Lettuce,Mini Romaine,Dragoon,Mini Romaine,Lettuce - Mini Romaine (Dragoon),2016-01-17 00:48:27
177,Lettuce,Mini Romaine,Pomegranate Crunch,Mini Romaine,Lettuce - Mini Romaine (Pomegranate Crunch),2016-01-17 00:48:27
321,Lettuce,Mini Romaine,Xalbadora,Mini Green Romaine,Lettuce - Mini Romaine (Xalbadora),2022-04-16 14:13:29
76,Lettuce,Red Leaf,New Red Fire,Red Leaf,Lettuce - Red Leaf (New Red Fire),2016-01-17 00:48:27
7,Lettuce,Red Leaf,Ruby Sky,Red Leaf,Lettuce - Red Leaf (Ruby Sky),2016-01-17 00:48:27
5,Lettuce,Red Leaf,Vulcan,Red Leaf,Lettuce - Red Leaf (Vulcan),2016-01-17 00:48:27
350,Lettuce,Romaine,Bluespark,Romaine,Lettuce - Romaine (Bluespark),2023-05-14 19:54:06
11,Lettuce,Romaine,Coastal Star,Romaine,Lettuce - Romaine (Coastal Star),2016-01-17 00:48:27
135,Lettuce,Romaine,Cosmo,Romaine,Lettuce - Romaine (Cosmo),2016-01-17 00:48:27
320,Lettuce,Romaine,DOV,Romaine,Lettuce - Romaine (DOV),2022-04-16 14:13:03
10,Lettuce,Romaine,Green Forest,Romaine,Lettuce - Romaine (Green Forest),2016-01-17 00:48:27
12,Lettuce,Romaine,Helvius,Romaine,Lettuce - Romaine (Helvius),2016-01-17 00:48:27
229,Lettuce,Romaine,Jericho,Romaine,Lettuce - Romaine (Jericho),2016-01-22 21:52:12
13,Lettuce,Romaine,Salvius,Romaine,Lettuce - Romaine (Salvius),2016-01-17 00:48:27
230,Lettuce,Romaine,Sparx,Romaine,Lettuce - Romaine (Sparx),2016-01-22 21:52:26
1,Lettuce,Salanova,Premier Collection,Salanova,Lettuce - Salanova (Premier Collection),2016-01-17 00:48:27
124,Melons,Cantaloupe,Athena,Cantaloupe,Melons - Cantaloupe (Athena),2016-01-17 00:48:27
215,Melons,Cantaloupe,Superstar,Cantaloupe,Melons - Cantaloupe (Superstar),2016-01-22 21:26:57
130,Melons,Specialty Melons,Natal Canary,Natal Canary,Melons - Specialty Melons (Natal Canary),2016-01-17 00:48:27
284,Melons,Watermelons,Crimson Sweet,Summer,Melons - Watermelons (Crimson Sweet),2020-05-15 19:39:20
57,Melons,Watermelons,Solitare,Watermelon,Melons - Watermelons (Solitare),2016-01-17 00:48:27
168,Melons,Watermelons,Sorbet Swirl,Watermelon,Melons - Watermelons (Sorbet Swirl),2016-01-17 00:48:27
34,Onions,Bunching Onions,Pride,Bunching Onion,Onions - Bunching Onions (Pride),2016-01-17 00:48:27
310,Onions,Red Onions,Cabernet,Red Onions,Onions - Red Onions (Cabernet),2022-03-21 18:49:20
279,Onions,Red Onions,Red Carpet,Red Onions,Onions - Red Onions (Red Carpet),2020-04-19 14:59:13
295,Onions,Red Onions,Red Carpet,Red Onions,Onions - Red Onions (Red Carpet),2021-02-14 13:26:54
138,Onions,Red Onions,Red Wing,Red Onion,Onions - Red Onions (Red Wing),2016-01-17 00:48:27
32,Onions,Sweet Onions,Walla Walla,Sweet Onion,Onions - Sweet Onions (Walla Walla),2016-01-17 00:48:27
33,Onions,Yellow Onions,Cortland,Yellow Onion,Onions - Yellow Onions (Cortland),2016-01-17 00:48:27
278,Onions,Yellow Onions,Talon,Yellow Onions,Onions - Yellow Onions (Talon),2020-04-19 14:58:56
332,Peach,Early Season,Desiree,Peach,Peach - Early Season (Desiree),2022-04-26 22:48:36
330,Peach,Late Season,Contender,Peach,Peach - Late Season (Contender),2022-04-26 22:46:56
331,Peach,Mid Season,Red Haven,Peach,Peach - Mid Season (Red Haven),2022-04-26 22:47:11
333,Pears,Asian,Hosui,Asian Pear,Pears - Asian (Hosui),2022-04-26 22:49:56
329,Pears,Early Season,Bartlett,Bartlett,Pears - Early Season (Bartlett),2022-04-25 22:34:55
328,Pears,Mid Season,Flemish Beauty,Flemish Beauty,Pears - Mid Season (Flemish Beauty),2022-04-25 22:34:03
281,Peas,Sugar Snap,Sugar Sprint,Sugar Snap,Peas - Sugar Snap (Sugar Sprint),2020-04-26 11:04:43
272,Peppers, Bell Peppers,Ninja,Green Bell Pepper,Peppers -  Bell Peppers (Ninja),2019-04-07 19:27:37
44,Peppers,Bell Peppers,Carmen,Red Fryer Pepp,Peppers - Bell Peppers (Carmen),2016-01-17 00:48:27
41,Peppers,Bell Peppers,Gourmet,Orange Pepp,Peppers - Bell Peppers (Gourmet),2016-01-17 00:48:27
296,Peppers,Bell Peppers,Jupiter,Bell Peppers,Peppers - Bell Peppers (Jupiter),2021-02-14 13:31:38
40,Peppers,Bell Peppers,Olympus,Green Pepp,Peppers - Bell Peppers (Olympus),2016-01-17 00:48:27
216,Peppers,Bell Peppers,Revolution,Green Pepp,Peppers - Bell Peppers (Revolution),2016-01-22 21:27:34
344,Peppers,Bell Peppers,Sprinter,Bell Peppers,Peppers - Bell Peppers (Sprinter),2023-03-27 09:48:55
42,Peppers,Bell Peppers,X3R Red Knight,Red Pepp,Peppers - Bell Peppers (X3R Red Knight),2016-01-17 00:48:27
277,Peppers,Hot Peppers,Arapaho,Cayenne ,Peppers - Hot Peppers (Arapaho),2020-04-19 14:57:43
46,Peppers,Hot Peppers,Cheyenne,Cayenne Pepp,Peppers - Hot Peppers (Cheyenne),2016-01-17 00:48:27
159,Peppers,Hot Peppers,Ghost,Ghost Pepp,Peppers - Hot Peppers (Ghost),2016-01-17 00:48:27
313,Peppers,Hot Peppers,Helios,Habanero,Peppers - Hot Peppers (Helios),2022-03-24 22:13:59
45,Peppers,Hot Peppers,Jalafuego,Jalapeno,Peppers - Hot Peppers (Jalafuego),2016-01-17 00:48:27
298,Peppers,Hot Peppers,Red Ember,Hot Pepper,Peppers - Hot Peppers (Red Ember),2021-02-14 13:36:34
271,Peppers,Hot Peppers,Red Flame,Cayenne,Peppers - Hot Peppers (Red Flame),2019-04-07 19:26:35
136,Peppers,Mini Peppers,Lunchbox,Mini Pepp,Peppers - Mini Peppers (Lunchbox),2016-01-17 00:48:27
259,Peppers,Peppers,Atomic Starfish,Atomic Starfish,Peppers - Peppers (Atomic Starfish),2018-04-15 16:45:57
260,Peppers,Peppers,Datil,Datil,Peppers - Peppers (Datil),2018-04-15 16:46:14
258,Peppers,Peppers,Jamaican,Jamaican,Peppers - Peppers (Jamaican),2018-04-15 16:45:29
255,Peppers,Peppers,Mavles Red Cayenne,Red Cayenne,Peppers - Peppers (Mavles Red Cayenne),2018-04-15 16:33:19
257,Peppers,Peppers,Peter Pepper,Peter Pepper,Peppers - Peppers (Peter Pepper),2018-04-15 16:45:14
262,Peppers,Peppers,Red Hot Cherry,Red Hot Cherry,Peppers - Peppers (Red Hot Cherry),2018-04-15 16:47:08
263,Peppers,Peppers,Ring of Fire,Ring of Fire,Peppers - Peppers (Ring of Fire),2018-04-15 16:47:36
264,Peppers,Peppers,Serrano,Serrano,Peppers - Peppers (Serrano),2018-04-15 16:47:50
256,Peppers,Peppers,Sweet Banana,Sweet Banana,Peppers - Peppers (Sweet Banana),2018-04-15 16:44:28
261,Peppers,Peppers,Yellow Kem Chang,Yellow Kem Chang,Peppers - Peppers (Yellow Kem Chang),2018-04-15 16:46:45
239,Peppers,Specialty Peppers,Carolina Reapers,Reapers,Peppers - Specialty Peppers (Carolina Reapers),2016-08-25 16:50:59
241,Peppers,Specialty Peppers,Pink Bubblegum,Bubblegums,Peppers - Specialty Peppers (Pink Bubblegum),2016-08-25 16:52:57
318,Peppers,Specialty Peppers,Shishito,Shishito,Peppers - Specialty Peppers (Shishito),2022-03-31 22:42:46
240,Peppers,Specialty Peppers,Thai Garden Chilis,Thai Chili's,Peppers - Specialty Peppers (Thai Garden Chilis),2016-08-25 16:52:00
231,Peppers,Specialty Peppers,Topepo Rosso,Topepo Rosso,Peppers - Specialty Peppers (Topepo Rosso),2016-01-22 22:22:16
236,Potatoes,Fingerling Potatoes,French Fingerling,French Fingerling,Potatoes - Fingerling Potatoes (French Fingerling),2016-05-12 15:22:25
235,Potatoes,Purple Potatoes,All Blue,Purple Potatoes,Potatoes - Purple Potatoes (All Blue),2016-05-12 15:18:57
39,Potatoes,Purple Potatoes,Purple Majesty,Purple Potato,Potatoes - Purple Potatoes (Purple Majesty),2016-01-17 00:48:27
217,Potatoes,Red Potatoes,Chieftan,Red Potato,Potatoes - Red Potatoes (Chieftan),2016-01-22 21:28:11
36,Potatoes,Red Potatoes,Norlands,Red Potato,Potatoes - Red Potatoes (Norlands),2016-01-17 00:48:27
349,Potatoes,Red Potatoes,Red Maria,Red Potatoes,Potatoes - Red Potatoes (Red Maria),2023-05-08 20:50:12
282,Potatoes,Russet Potatoes,Caribou Russet ,Mid-season white,Potatoes - Russet Potatoes (Caribou Russet ),2020-04-26 16:03:54
305,Potatoes,Russet Potatoes,Goldrush,Russet Potatoes,Potatoes - Russet Potatoes (Goldrush),2021-02-14 14:00:33
306,Potatoes,Russet Potatoes,Goldrush,Russet Potatoes,Potatoes - Russet Potatoes (Goldrush),2021-02-14 14:00:23
38,Potatoes,Russet Potatoes,Russet Burbank,Russet Potato,Potatoes - Russet Potatoes (Russet Burbank),2016-01-17 00:48:27
219,Potatoes,Sweet Potatoes,Covington,Sweet Potato,Potatoes - Sweet Potatoes (Covington),2016-01-22 21:28:52
37,Potatoes,White Potatoes,Kennebec,White Potato,Potatoes - White Potatoes (Kennebec),2016-01-17 00:48:27
304,Potatoes,White Potatoes,Superior,Potato,Potatoes - White Potatoes (Superior),2021-02-14 13:57:31
283,Potatoes,Yellow Potatoes,Lehigh,yellow late,Potatoes - Yellow Potatoes (Lehigh),2020-04-26 16:05:34
218,Potatoes,Yellow Potatoes,Nicola,Yellow Potato,Potatoes - Yellow Potatoes (Nicola),2016-01-22 21:28:30
336,Potatoes,Yellow Potatoes,Yukon Gem,Yellow Potatoes,Potatoes - Yellow Potatoes (Yukon Gem),2022-05-09 21:27:30
347,Potatoes ,Red Potatoes ,Red Maria,Red Potatoes ,Potatoes  - Red Potatoes  (Red Maria),2023-05-07 14:50:25
348,Potatoes ,Red Potatoes ,Red Maria,Red Potatoes ,Potatoes  - Red Potatoes  (Red Maria),2023-05-07 14:51:36
309,Pumpkin,Pumpkin,Dynasty,Pumpkin,Pumpkin - Pumpkin (Dynasty),2021-06-10 21:48:22
266,Pumpkin,Pumpkin,Eureka,Eureka,Pumpkin - Pumpkin (Eureka),2018-05-16 07:39:11
265,Pumpkin,Pumpkin,Superior,Superior,Pumpkin - Pumpkin (Superior),2018-05-16 07:38:56
340,Pumpkins,Gourds,Gourds,Gourds,Pumpkins - Gourds (Gourds),2022-09-05 17:01:31
341,Pumpkins,Ornamental,Ornamental,Ornamental Pumpkins,Pumpkins - Ornamental (Ornamental),2022-09-13 10:48:43
339,Pumpkins,Pumpkin,Mini,Mini Pumpkin,Pumpkins - Pumpkin (Mini),2022-09-05 17:00:41
308,Pumpkins,Pumpkins,Dynasty,Pumpkins,Pumpkins - Pumpkins (Dynasty),2021-06-07 07:25:45
