Order ID,Date,Supplier,Category,Crop,Variety,Seed Type,Quantity,Cost ($),Plant ID
7,2015-01-12,Johnny's Selected Seeds,Beans,Green Beans,Provider,Organic,13500,55.10,70
8,2015-01-12,Johnny's Selected Seeds,Beans,Yellow Beans,Rocdor,Organic,5000,33.75,71
9,2015-01-12,Johnny's Selected Seeds,Broccoli,Broccoli,Belstar,Organic,1000,26.25,16
10,2015-01-12,Johnny's Selected Seeds,Broccoli,Broccoli,Blue Wind,Untreated,1000,9.20,17
11,2015-01-12,Johnny's Selected Seeds,Broccoli,Broccoli,Green Magic,Untreated,1000,7.55,18
12,2015-01-12,Johnny's Selected Seeds,Cabbage,Green Cabbage,Farao,Organic,500,20.10,128
13,2015-01-12,Johnny's Selected Seeds,Cabbage,Red Cabbage,Red Express,Organic,4156,9.10,129
14,2015-01-12,High Mowing Seeds,Cauliflower,Cauliflower,Janvel,Organic,1000,49.50,115
15,2015-01-12,Johnny's Selected Seeds,Cauliflower,Cauliflower,Skywalker,Organic,500,29.65,114
16,2015-01-12,High Mowing Seeds,Kale,Red Kale,Red Russian,Organic,3906,4.95,22
17,2015-01-12,High Mowing Seeds,Kale,Green Kale,Vates,Organic,15000,10.00,21
18,2015-01-12,Johnny's Selected Seeds,Kale,Toscano Kale,Toscano,Organic,10437,11.25,23
19,2015-01-12,Johnny's Selected Seeds,Romanesco,Romanesco,Veronica,Organic,500,37.70,107
20,2015-01-12,High Mowing Seeds,Cucumbers,Specialty Cuke,Lemon,Organic,275,4.10,54
21,2015-01-12,Territorial Seed Company,Cucumbers,Slicer Cuke,Marketmore 97,Organic,200,19.10,52
22,2015-01-12,Johnny's Selected Seeds,Cucumbers,Slicer Cuke,SV4719CS,Untreated,500,18.30,51
23,2015-01-12,High Mowing Seeds,Cucumbers,Mini Cuke,Picolino,Organic,50,24.50,50
24,2015-01-12,Harris Seeds,Eggplant,Purple Eggplant,Classic,Untreated,500,11.40,56
25,2015-01-12,Johnny's Selected Seeds,Greens,Asian Greens,Red Komatsuna,Untreated,250,3.95,61
